# Matter power spectrum P(k) at redshift z=0
# for k=2.09001e-07 to 345.411 h/Mpc,
# number of wavenumbers equal to 592
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.115998937567e-02       1.596522271739e+04 
       4.137080531345e-02       1.588633073649e+04 
       4.158429312126e-02       1.580736473596e+04 
       4.180057235747e-02       1.572833523623e+04 
       4.201977008306e-02       1.564910059271e+04 
       4.224202148853e-02       1.557003849477e+04 
       4.246747058675e-02       1.549060419700e+04 
       4.269627098010e-02       1.541128950972e+04 
       4.292858671143e-02       1.533173909300e+04 
       4.316459321010e-02       1.525196467392e+04 
       4.340447834567e-02       1.517209507813e+04 
       4.364844360429e-02       1.509226509902e+04 
       4.389670540488e-02       1.501196953456e+04 
       4.414949657517e-02       1.493167689913e+04 
       4.440706801118e-02       1.485109136151e+04 
       4.466969054740e-02       1.477025252878e+04 
       4.493765707023e-02       1.468914684579e+04 
       4.521128491260e-02       1.460770683873e+04 
       4.549091857508e-02       1.452604953935e+04 
       4.577693282689e-02       1.444410498173e+04 
       4.606973625101e-02       1.436163769382e+04 
       4.636977530972e-02       1.427877082920e+04 
       4.667753902248e-02       1.419576410396e+04 
       4.699356436727e-02       1.411192832356e+04 
       4.731844253945e-02       1.402759715288e+04 
       4.765282623177e-02       1.394290649070e+04 
       4.799743813490e-02       1.385755344977e+04 
       4.835308090340e-02       1.377137001551e+04 
       4.872064888882e-02       1.368427282483e+04 
       4.910114201310e-02       1.359686773342e+04 
       4.949568224635e-02       1.350796343096e+04 
       4.990553326781e-02       1.341836197300e+04 
       5.033212403547e-02       1.332773410352e+04 
       5.077707717602e-02       1.323585985844e+04 
       5.124224334496e-02       1.314256770690e+04 
       5.172974300887e-02       1.304798292895e+04 
       5.224201748513e-02       1.295193225800e+04 
       5.278189155471e-02       1.285374470467e+04 
       5.335265055498e-02       1.275301739049e+04 
       5.395813556600e-02       1.265006316165e+04 
       5.460286109881e-02       1.254428273098e+04 
       5.529216048726e-02       1.243479083327e+04 
       5.603236474447e-02       1.232204593208e+04 
       5.683102045944e-02       1.220429480186e+04 
       5.769715031626e-02       1.208083478345e+04 
       5.864155393962e-02       1.195054674847e+04 
       5.967713314443e-02       1.181168511729e+04 
       6.081919764790e-02       1.166210608899e+04 
       6.208565484344e-02       1.149883826873e+04 
       6.349689911501e-02       1.131804005891e+04 
       6.507509163692e-02       1.111479994689e+04 
       6.684240337206e-02       1.088225480867e+04 
       6.881782738092e-02       1.061366676881e+04 
       7.101262719870e-02       1.030064034786e+04 
       7.342557598638e-02       9.938699825339e+03 
       7.604037226247e-02       9.525992211559e+03 
       7.882750042270e-02       9.067682415993e+03 
       8.175037284384e-02       8.575707466875e+03 
       8.477270110878e-02       8.068363518318e+03 
       8.786373199783e-02       7.564778451162e+03 
       9.100018188211e-02       7.084106401882e+03 
       9.416575206928e-02       6.641525572787e+03 
       9.734961737922e-02       6.247441465221e+03 
       1.005448289772e-01       5.907272044732e+03 
       1.037470215709e-01       5.621253350507e+03 
       1.069534894427e-01       5.386038733554e+03 
       1.101625692703e-01       5.194514903783e+03 
       1.133732435984e-01       5.037956009872e+03 
       1.165848918512e-01       4.906248032813e+03 
       1.197971361169e-01       4.789100966197e+03 
       1.230097464121e-01       4.676749636075e+03 
       1.262225827734e-01       4.561323368933e+03 
       1.294355599654e-01       4.436613674377e+03 
       1.326486260100e-01       4.299351876896e+03 
       1.358617491380e-01       4.148752605191e+03 
       1.390749098636e-01       3.986294061486e+03 
       1.422880961720e-01       3.815701830135e+03 
       1.455013005972e-01       3.641655474727e+03 
       1.487145184470e-01       3.469549304096e+03 
       1.519277467259e-01       3.304102362186e+03 
       1.551409834787e-01       3.149823890788e+03 
       1.583542273928e-01       3.009857199875e+03 
       1.615674775544e-01       2.886057943609e+03 
       1.647807333013e-01       2.779042798334e+03 
       1.679939941313e-01       2.688089574658e+03 
       1.712072596469e-01       2.611568315197e+03 
       1.744205295206e-01       2.546938966862e+03 
       1.776338034737e-01       2.491264226515e+03 
       1.808470812622e-01       2.441439556259e+03 
