# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       6.791160293113e+13       1.638882699739e-25       6.824848242104e-09       9.950571296216e+21       1.416504618283e+04       2.085806485409e-10       9.619709918694e+17       3.940354890194e-09       5.852682935902e+43       7.677935528594e+32       4.195124722822e+33       3.492914243310e-08       4.048703975710e+43       9.901386912108e+43       9.901386912108e+43       3.300462303871e+43      -1.934366679488e+52       9.608377079312e-06       1.127442385156e+00 
       6.718553171646e+13       1.674496778562e-25       6.899426807649e-09       9.738937310849e+21       1.416504618283e+04       2.108347708344e-10       9.516861595816e+17       3.982938139718e-09       5.606374518605e+43       7.434295042621e+32       4.062002710742e+33       3.492914243310e-08       3.878315475378e+43       9.484689994464e+43       9.484689994464e+43       3.161563331328e+43      -1.833148673618e+52       9.724819615171e-06       1.113942674577e+00 
       6.646722323137e+13       1.710884776887e-25       6.974005373195e-09       9.531804468424e+21       1.416504618283e+04       2.131132533327e-10       9.415112867169e+17       4.025981584642e-09       5.370431917652e+43       7.198385890960e+32       3.933104999790e+33       3.492914243310e-08       3.715097724309e+43       9.085529642426e+43       9.085529642426e+43       3.028509880654e+43      -1.737227018652e+52       9.841262151033e-06       1.100762423135e+00 
       6.575659448129e+13       1.748063511914e-25       7.048583938740e-09       9.329077036265e+21       1.416504618283e+04       2.154163592955e-10       9.314451976531e+17       4.069490198258e-09       5.144418890750e+43       6.969962738646e+32       3.808297542113e+33       3.492914243310e-08       3.558748943656e+43       8.703167834856e+43       8.703167834856e+43       2.901055944802e+43      -1.646324576816e+52       9.957704686895e-06       1.087890423833e+00 
       6.505356335897e+13       1.786050167122e-25       7.124981493689e-09       9.130661317789e+21       1.416504618283e+04       2.177443548275e-10       9.214867293375e+17       4.113469007631e-09       4.927917554735e+43       6.748788035819e+32       3.687450543536e+33       3.492914243310e-08       3.408980054845e+43       8.336897610016e+43       8.336897610016e+43       2.778965869860e+43      -1.560178711894e+52       1.007414722276e-05       1.075315987830e+00 
       6.435804863501e+13       1.824862299380e-25       7.201379048638e-09       8.936465609201e+21       1.416504618283e+04       2.200975089093e-10       9.116347311517e+17       4.157923094154e-09       4.720527612930e+43       6.534631770680e+32       3.570438328588e+33       3.492914243310e-08       3.265514145090e+43       7.986041758443e+43       7.986041758443e+43       2.662013919340e+43      -1.478540530420e+52       1.019058975862e-05       1.063028914828e+00 
       6.366996994847e+13       1.864517846341e-25       7.279595592991e-09       8.746400157110e+21       1.416504618283e+04       2.224760934283e-10       9.018880647794e+17       4.202857594109e-09       4.521865615026e+43       6.327271230293e+32       3.457139209798e+33       3.492914243310e-08       3.128085955395e+43       7.649951570830e+43       7.649951570830e+43       2.549983856807e+43      -1.401174162567e+52       1.030703229449e-05       1.051019465467e+00 
       6.298924779757e+13       1.905035136888e-25       7.357812137343e-09       8.560377117049e+21       1.416504618283e+04       2.248803832100e-10       8.922456040743e+17       4.248277699334e-09       4.331564248103e+43       6.126490768970e+32       3.347435361150e+33       3.492914243310e-08       2.996441390111e+43       7.328005638610e+43       7.328005638610e+43       2.442668546071e+43      -1.327856080677e+52       1.042347483036e-05       1.039278335603e+00 
       6.231580353053e+13       1.946432896106e-25       7.437847671099e-09       8.378310512872e+21       1.416504618283e+04       2.273106560503e-10       8.827062349301e+17       4.294188657702e-09       4.149271657499e+43       5.932081584013e+32       3.241212695550e+33       3.492914243310e-08       2.870337047128e+43       7.019608705010e+43       7.019608705010e+43       2.339869568209e+43      -1.258374453438e+52       1.053991736624e-05       1.027796632232e+00 
       6.164955933647e+13       1.988730258640e-25       7.517883204855e-09       8.200116197018e+21       1.416504618283e+04       2.297671927470e-10       8.732688551522e+17       4.340595773893e-09       3.974650796248e+43       5.743841498565e+32       3.138360746175e+33       3.492914243310e-08       2.749539767841e+43       6.724190564460e+43       6.724190564460e+43       2.241396854696e+43      -1.192528533859e+52       1.065635990211e-05       1.016565851072e+00 
       6.099043823641e+13       2.031946771871e-25       7.599737728015e-09       8.025711811623e+21       1.416504618283e+04       2.322502771323e-10       8.639323743297e+17       4.387504409805e-09       3.807378801907e+43       5.561574751358e+32       3.038772551600e+33       3.492914243310e-08       2.633826206055e+43       6.441205008322e+43       6.441205008322e+43       2.147068335987e+43      -1.130128079271e+52       1.077280243799e-05       1.005577855502e+00 
       6.033836407438e+13       2.076102411342e-25       7.681592251174e-09       7.855016750451e+21       1.416504618283e+04       2.347601961062e-10       8.546957137100e+17       4.434919985403e-09       3.647146399602e+43       5.385091793126e+32       2.942344544556e+33       3.492914243310e-08       2.522982415036e+43       6.170128814986e+43       6.170128814986e+43       2.056709604879e+43      -1.070992801676e+52       1.088924497387e-05       9.948248569609e-01 
       5.969326150864e+13       2.121217583360e-25       7.765265763737e-09       7.687952121643e+21       1.416504618283e+04       2.372972396688e-10       8.455578060736e+17       4.482847979108e-09       3.493657330200e+43       5.214209089487e+32       2.848976444229e+33       3.492914243310e-08       2.416803451931e+43       5.910460782468e+43       5.910460782468e+43       1.970153594044e+43      -1.014951846858e+52       1.100568750974e-05       9.842993964793e-01 
       5.905505600295e+13       2.167313140338e-25       7.848939276300e-09       7.524440711255e+21       1.416504618283e+04       2.398617009545e-10       8.365175956114e+17       4.531293928638e-09       3.346627802545e+43       5.048748930073e+32       2.758571151971e+33       3.492914243310e-08       2.315092998848e+43       5.661720801719e+43       5.661720801719e+43       1.887240267131e+43      -9.618433007470e+51       1.112213004562e-05       9.739943274736e-01 
       5.842367381797e+13       2.214410386195e-25       7.932612788863e-09       7.364406947567e+21       1.416504618283e+04       2.424538762653e-10       8.275740378021e+17       4.580263431503e-09       3.205785968747e+43       4.888539243719e+32       2.671034650322e+33       3.492914243310e-08       2.217662999873e+43       5.423448968937e+43       5.423448968937e+43       1.807816322874e+43      -9.115137216174e+51       1.123857258150e-05       9.639027995300e-01 
       5.779904200274e+13       2.262531088276e-25       8.018105290830e-09       7.207776866159e+21       1.416504618283e+04       2.450740651057e-10       8.187260992921e+17       4.629762145718e-09       3.070871421555e+43       4.733413419517e+32       2.586275905235e+33       3.492914243310e-08       2.124333313372e+43       5.195204735234e+43       5.195204735234e+43       1.731734911643e+43      -8.638176967615e+51       1.135501511738e-05       9.540182432342e-01 
